pH	f0		f1		f2		
1.0	1.995E-13		6.310E-12		1.000E+00		
1.2	5.012E-13		1.000E-11		1.000E+00		
1.4	1.259E-12		1.585E-11		1.000E+00		
1.6	3.162E-12		2.512E-11		1.000E+00		
1.8	7.943E-12		3.981E-11		1.000E+00		
2.0	1.995E-11		6.310E-11		1.000E+00		
2.2	5.012E-11		1.000E-10		1.000E+00		
2.4	1.259E-10		1.585E-10		1.000E+00		
2.6	3.162E-10		2.512E-10		1.000E+00		
2.8	7.943E-10		3.981E-10		1.000E+00		
3.0	1.995E-09		6.310E-10		1.000E+00		
3.2	5.012E-09		1.000E-09		1.000E+00		
3.4	1.259E-08		1.585E-09		1.000E+00		
3.6	3.162E-08		2.512E-09		1.000E+00		
3.8	7.943E-08		3.981E-09		1.000E+00		
4.0	1.995E-07		6.310E-09		1.000E+00		
4.2	5.012E-07		1.000E-08		1.000E+00		
4.4	1.259E-06		1.585E-08		1.000E+00		
4.6	3.162E-06		2.512E-08		1.000E+00		
4.8	7.943E-06		3.981E-08		1.000E+00		
5.0	1.995E-05		6.309E-08		1.000E+00		
5.2	5.012E-05		9.999E-08		9.999E-01		
5.4	1.259E-04		1.585E-07		9.999E-01		
5.6	3.161E-04		2.511E-07		9.997E-01		
5.8	7.937E-04		3.978E-07		9.992E-01		
6.0	1.991E-03		6.297E-07		9.980E-01		

